sorting number	name	instance of	date of birth	date of death	sex	occupation or domain	geographic circles	Bibliotheque nationale de France Catalogue	data.bnf	Wikidata	ISNI	VIAF	Annuaire prosopographique : la France savante	In Who Was Who in Egyptology	Note
243	Lansberge	human	unknown	unknown	male	diplomat	France							no	Secretary to the Dutch embassy
244	Lattes, Moïse	human	unknown	unknown	male	unknown	Italy							no	From Venice (Italy); BiÉg 9, p. CXVII: son of the chief rabbi
245	Laurent, H.	human	unknown	unknown	unknown	unknown	unknown					http://viaf.org/viaf/16973528		no	
246	Lauth, Franz Joseph	human	1822	1895	male	egyptologist ; professor	Germany			https://www.wikidata.org/wiki/Q5492832				yes	
247	Le Bibliothécaire de la Bibliothèque royale de Berlin (Allemagne)	position	unknown	unknown	male	librarian	Germany			https://www.wikidata.org/wiki/Q170109				no	
248	le chargé d'affaires de Suède et Norvège	position	unknown	unknown	male	diplomat	Sweden ; Norway							no	
249	Le chef du cabinet particulier de sa Majesté le Roi d'Italie	position	unknown	unknown	male	unknown	Italy							no	
250	Le curé et maire de Briançon	position	unknown	unknown	male	priest ; politician	France							no	
251	Le Dantec, Félix	human	unknown	unknown	male	unknown	France							no	From Lorient (Morbihan)
252	Le directeur du Musée d'Aix-les-Bains (Savoie)	position	unknown	unknown	male	unknown	France							no	
253	Le Ministre plénipotentiaire des Pays-Bas	position	unknown	unknown	male	diplomat	Netherlands							no	
254	Le préfet de Saône-et-Loire	position	unknown	unknown	male	civil servant	France ; Saône-et-Loire							no	
255	le président de l'Institut de correspondance archéologique	position	unknown	unknown	male	archaeologist	France							no	
256	le Président de la Société royale de littérature de Londres	position	unknown	unknown	male	unknown	United Kingdom							no	
257	le rédacteur de la Presse	position	unknown	unknown	male	writer	France			https://www.wikidata.org/wiki/Q3211911				no	
258	Victor-Emmanuel II d'Italie	human	unknown	unknown	male	monarch	Italy			https://www.wikidata.org/wiki/Q168691				no	
259	Le secrétaire de l'Athénée oriental	position	unknown	unknown	male	unknown	France	https://catalogue.bnf.fr/ark:/12148/cb13749772k	https://data.bnf.fr/ark:/12148/cb13749772k					no	
260	Le secrétaire de M. Guimet	position	unknown	unknown	male	unknown	France ; Rhône							no	See also 'Saint-Sulpice, J. de'
